line,label
buenas noches v,lapaz
sí vivo yo cuarenta años en esta zona que yo he nacido en esta zona y me acuerdo de mis papás que han construido su casi ta y yo he crecido en esas en esa casa y,lapaz
era pues así casitas había pura mediagüitas y había unas plantas verde nomás era más arriba también y había plantas que curaban heridas se llamaba esa planta le nombraban que era el quentu y a veces como vacunaban antes se hacía herida y iban a conseguir esa planta ahí arriba sabemos ir a buscar ese quentu entonces mi mamá con eso nos curaba y hacía sanar la herida esas plantas y luego lo han volteado no había casas y has ha habido ya al último lo han vuelto casas ya se ha perdido todos las plantas de ese lugar y así hemos ido viviendo hemos vivido tantos años en esa zona había una iglesita chiquitita y había fiestas había prestes mi mamá pasaba preste mi papá también y nosotras éramos niñas y cuando su casita ha hecho construir para pasar preste mi papá mi mamá se han hecho hacer y en esa casa han pasado el preste y nosotros sabemos ver cómo éramos niñas también sabemos estar viendo en esa iglesita se daba la misa y al último esa iglesita lo han volteado y se ha vuelto colegio ya ese es el colegio italia tiene tres nombres colegio italia es en la tarde en la mañana es ramón retamoso y en la noche es veinte de octubre es su nombre de del colegio y ya no han vuelto a recuperar la iglesia y luego han recorrido más abajo y ahí nos hacía trabajar nos decía que vamos a tener una iglesia y toda la zona de ahí arriba iba a trabajar ahí nosotros como éramos chicas hay que trabajar dice feliz sabemos ir a trabajar para hacer nuestr la parroquia el salvador ahí hemos visto todo como se ha hecho la esa escueli esa iglesia el salvador por eso tenemos hasta ahora la iglesia sigue está ahí hay matrimonios y hay bautizo en esa iglesia hay misas de alma todo está bien no más esa iglesita también,lapaz
mi casita es de era mi casita pues mediagua me he comprado hemos comprado con mi esposo pero tenía cuartitos tenía tres cuartos y luego hemos trabajado con mi esposo mi esposo era trabajador yo también iba a vender hemos ahorrado y con eso he hecho construir mi casita ahorita mi casa es de cuatro pisos es de puro ladrillo y ahí hemos trabajado sigue y hemos hecho limpiar era obra bruta entonces hemos trabajado seguíamos trabajando y hemos hecho limpiar ya todos los mi sala mi sala y mi cocina es uno y luego los dormitorios abajo es las tiendas más abajo tengo cuartos pero eso es sótano ya y la terraza más así y así eso hemos hecho construir ahí actualmente vivimos pues vivo ahí con mis hijas tengo también abajo otros dos departamentos también para eso también hemos trabajado eso está abajo pero como dos patios tienen ahorita mi casa,lapaz
de mí más que todo la terraza porque salgo a la terraza a lavarme mi ropa y salgo a descansar también porque llega el sol hasta toda la tarde entonces siempre estoy ahí descansando y luego ya me entró también a mi taller a trabajar yo trabajo con costura entonces yo ahí estoy trabajando pues con la costura,lapaz
sí soy casada tengo cinco hijas,lapaz
con mis hijas yo he vivido pues cuand eran niñas y como yo iba a vender siempre les dejaba a mis hijitas a mi esposo porque yo tenía mi puesto otro en la max paredes entonces en la mañana también entonces yo me iba a las seis de la mañana y llegaba en la noche a las siete de la noche más les cuidaba mi esposo y yo solo les veía los lunes descansaba no salía a vender entonces ese día yo cocinaba con mis hijitas se almorzar juntos entonces eso les gustaba a mis hijas que siempre estemos juntos y almorzando y ellas se alegraban cuando no iba a vender porque ellas siempre querían hasta que les sirva su almuerzo llegaban se iban a la escuela a medio día llegaban un doce y media por ahí y yo sé decirles sírvanse no mami vos servime y yo les servía a mis hijas me decían mami tú cuando nos sirves es más rico la comida entonces eso me gustaba de mis hijas yo sabía eso que me han dicho llegaban entonces yo como estaba los lunes nomás ent siempre les servía sus almuerzos y sus cenas y así con mis hijas ese recuerdito también tengo también se portaban bien no eran flojitas hacían sus tareas calladitas llegaban siempre su papá les decía van a almorzar y ya saben sus tareas mis hijas calladitas hacían sus tareas no necesitaban haz hecho ya has hecho nunca le he dicho eso mis hijas hacían callados sus tareas ellas decían he hecho y lo guardaban su cuaderno y mi esposo le revisaba a ver cuál haz hecho esto es esto he hecho papi ya ahora puedes jugar así y eso mis wawas eran así bien responsables con sus tareas,lapaz
sí yo me recuerdo que he vivido de mi niñez mis papás eran bien estrictos nos hacían que nos van a dejar dormir hasta las siete de la mañana así mi papá caminaba desde las cinco de la mañana y a nosotros nos hacía despertar tiene que barrer despiértese vayan a poner agua para el desayuno así y a nosotros nos llegaba el sueño grave pues sabemos querer dormir su radio sabe prenderse la bulla fuerte mi papá hablaba aymara bien entonces su radio le gustaba en aymara se ponía su radio en aymara y eso sabemos estar escuchando ya y ahora levántense vayan a barrer el patio teníamos que barrer y era tierra nomás el patio no era pues con cemento nada y sabemos regar con un poco de agua y teníamos que barrer el patio y la basura teníamos que ir a botar ese rato mismo no tantabamos la basura barría y ya a botar vayan a botar a la basura sabemos volver y ahora vayan por pan por pan al horno sabemos ir a comprarnos pan el pan porque en el horno te aumentaba comprabas digamos cinco pesos y te aumentaba unos dos pancitos así y el pan antes era bien rico y en el camino ya sabemos comer uno el que va a comprar siempre un pan se lo comía porque nos aumentaba entonces el pan era rico nosotros ya comiendo un pan ya sabemos menos un pan le sabemos entregar a mi mamá,lapaz
ss nosotros mi mamá vendía en la puerta de la escuela su casa de mi mamá era cerca a la escuela entonces mi mamá ha salido a vender dulces gelatinas refresquitos de todo hasta fruta ponía mi mamá entonces nos hacía despertar y teníamos que ayudarle a mi mamá a hacer en la noche hacíamos las gelatinas éramos entre artos también entonces todos cada uno preparaba y alistaba para hacer para el día siguiente y luego ya en la mañana uno se mi mamá iba a comprar agarrar fruta yo voy agarrar fruta y ustedes van a estar sacando para vender y como éramos con mis hermanos con mis hermanos menores y sacábamos a vender pues todo todo ya pa que llegue mi mamá ya tenía que estar todo sentaditos para vender llegaba directo mi mamá a hacer sentar las frutas y sabemos ya empezar a vender y luego nos sabemos ir a la escuela de la escuela sabemos llegar a medio día como era cerca entonces rápido teníamos que llegar a la casa y después ya no había ni tiempo para hacer la tarea porque teníamos que ayudarle a mi mamá y le ayudabamos a vender porque mi mamá vendía comida más y eso también tenía que hay que cocinar para el recreo por ejempl ya sabe cocinar en la tarde ya eso hay que ayúdenme todo teníamos que haer sabemos preparar eso y sabemos ayudarle a vender hasta antes en la noche más había colegio ahora casi no hay antes había el colegio nocturno entonces entraban a las siete seis y media yo creo entraban y ya salían ocho y media a nueve los estudiantes había pues harto énfasis alumnado en el colegio y mi mamá se rato sabemos vender sigue pues hasta que se vayan once doce de la noche ya sabe ser y sabemos estar sigue ahí vendiendo qué vamos a hace ahora ya luego de entrarnos y recoger todo a preparar también para el día siguiente hacer los refresquitos la gelatina la gelatina tiene que congelar lo hacíamos en bolsitas y lo dejabamos al patio y al día siguiente bien congelado las gelatinas y eso ya vendia sacábamos para vender en el puesto también,lapaz
sí yo he vivido con mis papás casi hasta mis dieciocho años debe ser mi papá era bien estricto mi mamá también y yo ya me he casado me he conocido con mi esposo y me he casado con mi esposo y luego ya me he ido de su lado de mi papá de mi mamá ya vivía con mi esposo me he casado entonces mi esposo ya trabaja siempre yo también trabajaba y así hemos vivido así yo he empezado a vender también en su puesto de mi mamá donde vendía mi mamá ya no vendía se ha ido a otro lugar y yo he salido a vender ahicito y así hemos vendido estábamos vendiendo entonces tiempo de vacaciones ya no se tener que hacer nada qué puedo hacer ahora se decir entonces he empezado a costurar y eso se ir a vender de eso he aprendido a hacer costura mi esposo también había sabido costurar polleras todo entonces él me decía quiero hacer mandiles para cholitas él me decía yo te lo voy a cortar y mi esposo me lo cortaba y él se iba a trabajar llegaba me lo cortaba y yo tenía que costurar eso llevaba a vender a entity después me he conseguido mi puesto en ese puesto ya he puesto mis mandiles y he hecho enaguas para cholitas se hace enaguas ahora centros le decimos para bailar esos ya hemos hecho así mi esposo sacaba su sueldito metíamos al capital sacaba otro sueldo y metíamos al capital tela vamos a comprar decía mi esposo como había venta antes decía estás vendiendo meteremos esto al capital esto vamos a meter todo su sueldito sabemos meter tampoco ganábamos mucho mi esposo entonces de con eso hemos nos hemos levantado ya nuestro capital hemos ido he ido a vender a entity y por no gastar pasaje sabemos ir a pie a la dieseis de julio desde la casa donde vivía entonces sabemos llegar a entity sabemos hacer sentarse vender y a pie también sabemos bajar por no gastar el pasaje y así hemos salido adelante con mi esposo y luego me des me he conseguido un puesto en la entity ahí bajaba a vender me han alquilado el puesto no me han prestado así no más me decían págame pero te voy a dar vas a vender pero me vas a pagar ya le dicho decía y cuánto te puedo me vas a cobrar por día un boliviano págame me decía la señora y yo le he dicho ya al mes se hacía treinta bolivianos voy a poder pagar pensaba para poder sacar entonces yo me he ajustado entonces y vendía no más entonces ya he dicho te voy a pagar no más señora cada mes le pagaba treinta bolivianos llegaba a fin de mes y le pagaba entonces la señora me decía estate vendiendo así y luego ya he he debido estar casi un año y más y luego me dice va salir mis hijos a vender me dice ucha qué voy a hacer ahora y justo me he conseguido otro puesto en la max paredes ha debido ser para navidad ya le he dicho porque más vendía en la max paredes en navidad y en la entity vendía poco ya le dije entonces me he ido a la max paredes no más ya a vender ahí me he quedado a vender ahí me estaba yendo también bien ha pasado navidad y he tratado de conseguirme sigue en la entity y he conseguido otro puesto me he prestado de otra señora me ha dicho te puedo prestar sino me pagas ya le he dicho te voy a pagar como estaba pagando a la otra señora ya le he dicho pero no ha sido ni dos ni tres meses la señora ha venido y me dice te lo pasaré el puesto me dice ya le digo ucha ese rato me he asustado porque la plata tenía que conseguir ahora le digo ya entonces vamos a hablar ya dice voy a venir pensaste me ha dicho la señora a mi esposo le he dicho te pasaré el puesto dice y ahora diciendo qué hacemos plata ahora y a mi mamá le conté mami así la dueña del puesto quiere pasar mi mamá era bien viva también me dice cómprate el puesto es puesto te va a ir bien igual vas a sacar ese puesto debes estar vendiendo ps o no estoy vendiendo ves cómprate hija te falta plata me ha dicho sí mami me falta plata yo te voy a prestar hija y mi mamá me sabe prestar plata se aumentarme con eso y esa vez el puesto era trecientos cincuenta dólares habrá sido pues y mi mamá me ha prestado cien dólares o doscientos dólares con eso he comprado he aumentado ps ahí y hasta ahora es mi puesto en ese puesto con ese puesto he conseguido mi casita con ese puesto me construido la casa he hecho construir la casa con ese puesto he hecho estudiar a mis hijas con ese puesto hemos hecho todo y hasta ahora sigue estoy con ese mi puesto,lapaz
sí antes había bien pero ahora ha rebajado totalmente con esta pandemia peor que ya no hay venta a veces se vende a veces no se vende pero qué vamos a hacer ya nos estamos yendo acostumbrando las pri primeras veces harto se extrañaba esas cosas ya no había venta uno se preocupa quiere vender como antes pero ya no es así hay hay caso de enfermarse así qué vamos a hacer pero ya nos hemos acostumbrado y ahora nos conformamos si vendemos ni modo si no hay ni modo qué vamos a hacer así estamos con el negocio ahora,lapaz
sí salgo a vender a veces me quedo también los sábados salgo rara vez no salgo pero domingos casi ya no salgo porque no hay venta entonces ya ese día quiero si quiera desayunar desayunar con mis hijas cocinar porque otros días no se puede ni almorzar ni a medio día mi hija llega tarde mi otra hija no llega porque en su trabajo almuerza en la noche no más llega mi otra hija también esta está en la casa está estudiando y por eso me quedo los domingos a veces cocinan mis hijas a veces yo también cocino así estoy los domingos fin de semana,lapaz
sí con lo que tanta cosas se escucha que se están matando que están matando a sus hijitos esas cosas hace pensar harto porque vemos que le ha matado a ver recién hemos escuchado que de una bebé de dos añitos que le ha matado no sé sabía quién le ha matado pero parece que le ha hecho el padrastro eso es lo que más a uno asusta,lapaz
de ese tema no ps la gente no sé por qué parece que ya estamos locos como nos podemos matar entre nosotros antes no se escuchaba esas cosas cuando yo era jovencita ya no se escuchaba esas cosas pero sí los papás decían la gente con el tiempo dice que ya va ser loco hasta entre el hijo le va a matar al papá el hijo le va a matar al hijo o si no se van a matar entre marido y mujer y yo sé decir cómo puede ser tanto lo que hablan ni que fuer ni que estuviéramos pues locos se decir eso y hablan así así va ser dice y aquellas veces no se pagaba de la basura y decían con el tiempo dice que de la basura vamos a pagar y yo sé decir cómo de la basura vamos a pagar y pero hemos llegado a eso se escucha todo mira como decían se van a matar y van a matar y así está y así está pasando y hasta de la basura ya estamos pagando las ropas van a aparecer con brillos decían esas veces no habían así ropas brillosas decían las ropas van a llegar dice con brillos como espejo dice que vas a brillar cuando te vas a poner tu ropa decían y yo decía cómo tan feo puede llegar porque esas veces no llegaban la ropa con brillo llegaba colores enteros llegaba digamos un lila no tenía nada de brillo llegaba un turquesa nada de brillo un café llegaba no tenían brillos nada pero ahora mira cómo hay las ropas con brillo con lentejuelas y verdad es como decían los papás de antes todas esas cosas se está cumpliendo todas esas cosas entonces a veces hay caso de pensar cómo decían y verdad siempre esas cosas están pasando,lapaz
