line,label
bien solamente joven una vivienda sí no vivo justamente en un departamento no unos cuartitos normales sí actualmente pues vivo en unos tengo unos ocho cuartos sí,1
como te contaba pues que la mayor parte de mi vida fue en el oriente las veces que los fines de semana que yo llegaba a pasar aquí en entity salía muy poco o sea me quedaba en la casa a descansar y todo eso así que no en ese entonces vivía en el centro no no se han visto mayores cambios realmente al menos no los he notado,2
no ella todavía es más jovencita recién empezó a estudiar entonces todavía se va a quedar conmigo no no no me gustaría que ella se vaya porque como es mujercita quiero todavía cuidarla y merece más cuidado sobre todo en este tiempo que que se escucha tantos raptos violaciones asesinatos feminicidios entonces yo a ella prefiero que esté conmigo y está más segura conmigo no me gustaría que que se independice o que se quiera casar no todavía no ella y pero ella ya sabe eso ella también es de ese pensamiento que que no piensa casarse,1
en la provincia de cotopaxi,2
llamamos,2
sí vive cerca quien vive es más lejos es mi hermana la que vive por entity,2
entonces mantenemos ahora con whatsapp una un chat permanente con la mayoría de ellos no bueno de los cien habremos quedado unos veinte que estamos en contacto algunos han muerto otros no sabemos dónde están pero ahí seguimos esa es la infancia mía,2
es que eso no no capaz no existe acá en entity o sea capaz y no la marca no porque además le hacía full referencia a la marca y la alababa a la marca porque era una marca china y que las mejores de china entonces bueno la cosa fue que busqué en internet y sí había y le conté a mi papi la idea no al inicio yo era me voy a comprar la moto me voy a comprar la moto está full barata me voy a comprar la moto porque estaba en el descuento me acuerdo del día de la madre,2
bueno el asado de chancho yo no sé yo me compro cualquier parte so solamente esas que están fileteado delgado y yo le combino con el co yo le yo lo preparo con el este con un poco de comino pimienta un poquito de ajo mi esposo lo prepara de diferente manera él lo prepara con apio y la verdad me parece muy rico igual y lo co y lo acompaño con un arroz con choclo porque el chancho es muy muy rico con el choclo a mí eso es lo que me gusta más o a veces también sabemos hacer la fritanga la fritanga es ya con yo lo preparo con ají el chancho después un poquito de pan duro después acompañado con la papa y la tunta eso nada más,1
o a los centros comerciales,2
entonces mi manera divertirme es yéndome a bailar o quedándome en la casa haciendo bulla y con con mis cosas de dj,2
sí sí,2
